stop_id,stop_code,stop_name,stop_lat,stop_lon
100148,100148,MARTIN L KING JR DR NW @ CHICAMAUGA AVE NW,33.753823,-84.431838
210829,99971061,DEERFIELD PKWY @ TWO VERIZON PL,34.092878,-84.271101
100150,100150,MARTIN L KING JR DR NW @ CHAPPELL RD,33.753841,-84.433273
100152,100152,FAIR ST SW @ 1ST ST SW,33.748905,-84.425545
100154,100154,FAIR ST@FIRST ST,33.749077,-84.425298
100160,100160,FAIR ST SW @ LAWTON ST SW,33.748913,-84.423424
100162,100162,FAIR ST@ABBOTT ST,33.749191,-84.419426
100164,100164,MARTIN LUTHER KING J DR@OLLIE ST,33.754747,-84.421316
100166,100166,LUCILE AVE @ HOLDERNESS ST,33.742318,-84.426768
100168,100168,FAIR ST SW @ JOSEPH E LOWERY BLVD,33.749074,-84.418167
100170,100170,WESTVIEW DR SW @ WESTVIEW PL,33.74744,-84.434656
101002,101002,LEE ST SW @ W END AV SW,33.744253,-84.414009
101006,101006,LEE ST SW@NORCROSS ST SW,33.743338,-84.413776
101008,101008,W END AVE SW @ WELLBORN ST SW,33.744457,-84.415237
101010,101010,PETERS ST SW@HAYNES ST SW,33.749214,-84.399712
101016,101016,ATLANTA STUDENT MOVEMENT BLVD @ WALNUT ST SW,33.749182,-84.406514
101018,101018,ATLANTA STUDENT MOVEMENT BLVD @ VINE ST SW,33.749315,-84.407764
101020,101020,ATLANTA STUDENT MOVEMENT BLVD @ ELM ST SW,33.749358,-84.409504
900213,99288,WELLINGTON ST @ MARTIN L KING JR DR,33.752451,-84.43835
900214,99290,LAUREL AVE SW@MARTIN LUTHER KING J ,33.751847,-84.440119
900215,99292,LAUREL AVE SW@ARCHER ST SW,33.750663,-84.440032
900216,99294,MIMS ST SW@LAUREL AVE SW,33.749829,-84.439784
900217,99296,MARTIN L KING JR DR NW @ RACINE ST SW,33.751751,-84.44126
900218,99298,MARTIN L KING JR DR NW @ FEDERAL DR SW ,33.751611,-84.44244
900219,99300,MARTIN L KING JR DR NW @ W LAKE AVE SW,33.751091,-84.444097
900220,99304,LUCILE AVE SW @ LANGHORN ST SW,33.74225,-84.432442
900221,99306,LUCILE AVE SW @ MUSE ST SW,33.742374,-84.433716
900222,99308,LUCILE AVE SW @ MUSE ST SW,33.742258,-84.433583
